source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,period
M43_65_2022,44.37,dead,Maguey,43,65,0,t2,0,3.792563565390818,NA,34,2023
M43_65_2022,310.7,grow,Maguey,43,65,332.95,t2,1,5.738827816399001,5.807992328556631,35,2023
M43_65_2022,79.36,same,Maguey,43,65,79.47,t2,1,4.373994462976618,4.375379591952088,36,2023
M43_65_2022,220.46,same,Maguey,43,65,228.98,t2,1,5.39571627253517,5.433634663495666,37,2023
M43_65_2022,228.56,shrink,Maguey,43,65,190.34,t2,1,5.431798757922517,5.248811946644198,38,2023
M43_66_2022,39.62,dead,Maguey,43,66,0,t2,0,3.6793340412704048,NA,39,2023
M43_66_2022,118.32,dead,Maguey,43,66,0,t2,0,4.773392818402544,NA,40,2023
M43_66_2022,179.74,grow,Maguey,43,66,207.37,t2,1,5.191511362230227,5.334504637309749,41,2023
M43_66_2022,53.83,shrink,Maguey,43,66,43.68,t2,1,3.985830932572866,3.7768903314366495,42,2023
M43_66_2022,49.65,shrink,Maguey,43,66,43.29,t2,1,3.9049983904911816,3.7679216614538893,43,2023
M43_67_2022,5.34,same,Maguey,43,67,5.29,t2,1,1.6752256529721035,1.665818245870208,44,2023
M43_68_2022,152.09,dead,Maguey,43,68,0,t2,0,5.024472450884278,NA,45,2023
M43_68_2022,116.48,dead,Maguey,43,68,0,t2,0,4.757719584448376,NA,46,2023
M43_68_2022,89.69,same,Maguey,43,68,92.52,t2,1,4.496359280129911,4.527424837363238,47,2023
M43_68_2022,787.71,same,Maguey,43,68,766.6,t2,1,6.669130001817219,6.6419651529464545,48,2023
M43_68_2022,127.54,shrink,Maguey,43,68,59.32,t2,1,4.848430040887125,4.082946517269732,49,2023
M43_68_2022,106.49,shrink,Maguey,43,68,98.37,t2,1,4.668051084027292,4.588735879524666,50,2023
M45_85_2022,79.08,shrink,Maguey,45,85,63.17,t2,1,4.370459998302416,4.145829504910609,51,2023
M45_85_2022,113.49,shrink,Maguey,45,85,83.66,t2,1,4.731714727313047,4.4267609660140526,52,2023
M45_87_2022,327.45,dead,Maguey,45,87,0,t2,0,5.791335371664062,NA,53,2023
M45_87_2022,71.65,shrink,Maguey,45,87,31.58,t2,1,4.271793154274181,3.452524008827496,54,2023
M45_87_2022,99.43,shrink,Maguey,45,87,83.5,t2,1,4.599453878991982,4.42484663185681,55,2023
M45_88_2022,573.6,same,Maguey,45,88,598.06,t2,1,6.35193228928541,6.393691083365628,56,2023
M45_88_2022,70.86,shrink,Maguey,45,88,60.82,t2,1,4.260706099437326,4.107918682249219,57,2023
M48_50_2022,49.51,dead,Maguey,48,50,0,t2,0,3.9021746693733315,NA,58,2023
M74_95_2022,31.06,dead,Maguey,74,95,0,t2,0,3.435920817720541,NA,59,2023
M74_95_2022,106.36,grow,Maguey,74,95,113.67,t2,1,4.666829566374819,4.733299513698619,60,2023
M74_95_2022,36.06,same,Maguey,74,95,34.51,t2,1,3.585184217775171,3.541249137109912,61,2023
M74_95_2022,39.01,shrink,Maguey,74,95,23.88,t2,1,3.663818023518565,3.1730412885244013,62,2023
M74_95_2022,32.16,shrink,Maguey,74,95,22.18,t2,1,3.4707234443107655,3.099190981922221,63,2023
T01_15_2022,406.7,dead,Tampico,1,15,0,t2,0,6.008075812913178,NA,64,2023
T01_15_2022,189.02,same,Tampico,1,15,188.45,t2,1,5.24185282956691,5.238832719713145,65,2023
T01_15_2022,138.57,same,Tampico,1,15,132.34,t2,1,4.931375613110624,4.885374368583913,66,2023
T01_15_2022,131.38,same,Tampico,1,15,131.96,t2,1,4.878093887464327,4.882498846360381,67,2023
T01_15_2022,312.5,same,Tampico,1,15,309.94,t2,1,5.744604469176457,5.736378730359189,68,2023
T04_05_2022,7.62,dead,Tampico,4,5,0,t2,0,2.030776369698555,NA,69,2023
T04_05_2022,93.95,same,Tampico,4,5,96.37,t2,1,4.5427627258594745,4.568194949863196,70,2023
T04_05_2022,226.56,same,Tampico,4,5,236.64,t2,1,5.423009810505355,5.46653999896249,71,2023
T04_06_2022,64.02,grow,Tampico,4,6,74.12,t2,1,4.159195534541717,4.3056854014171595,72,2023
T04_06_2022,110.49,grow,Tampico,4,6,132,t2,1,4.704925019125084,4.882801922586371,73,2023
T04_06_2022,238.24,grow,Tampico,4,6,251.58,t2,1,5.473278568935699,5.527761030410726,74,2023
T04_06_2022,266.38,shrink,Tampico,4,6,253.16,t2,1,5.584923860772885,5.534021699907105,75,2023
T04_08_2022,86.3,shrink,Tampico,4,8,73.69,t2,1,4.457829598089382,4.299867104778908,76,2023
T20_11_2022,89.14,same,Tampico,20,11,90.33,t2,1,4.49020816751841,4.503469631161752,77,2023
T22_35_2022,201.1,same,Tampico,22,35,210.56,t2,1,5.303802296778606,5.3497706481369525,78,2023
T22_35_2022,21.48,same,Tampico,22,35,21.41,t2,1,3.067122269640664,3.0638581026015914,79,2023
T22_36_2022,77.47,grow,Tampico,22,36,139.36,t2,1,4.349890764643811,4.937060513104193,80,2023
T22_36_2022,378.63,same,Tampico,22,36,380.66,t2,1,5.936559474938649,5.941906588259638,81,2023
T22_36_2022,53.96,shrink,Tampico,22,36,42.78,t2,1,3.988243031339555,3.7560707036542595,82,2023
T24_31_2022,534.59,grow,Tampico,24,31,613.23,t2,1,6.281500097955606,6.418740069479996,83,2023
T24_32_2022,119.62,dead,Tampico,24,32,0,t2,0,4.784320051616411,NA,84,2023
T37_17_2022,174.54,same,Tampico,37,17,177.31,t2,1,5.162153941735165,5.177899613068897,85,2023
T37_17_2022,144.59,same,Tampico,37,17,150.17,t2,1,4.9739021510400345,5.011767985692189,86,2023
T37_17_2022,59.44,shrink,Tampico,37,17,49.85,t2,1,4.084967400409504,3.9090184964078474,87,2023
T37_18_2022,555.25,same,Tampico,37,18,570.66,t2,1,6.319418462774537,6.346793585722349,88,2023
T37_18_2022,69.56,shrink,Tampico,37,18,60,t2,1,4.242189689486082,4.0943445622221,89,2023
T37_19_2022,47.06,dead,Tampico,37,19,0,t2,0,3.8514233832992164,NA,90,2023
T37_19_2022,291.57,dead,Tampico,37,19,0,t2,0,5.675280114183489,NA,91,2023
T37_20_2022,254.2,shrink,Tampico,37,20,239.58,t2,1,5.538121358755354,5.478887390303185,92,2023
T37_20_2022,51.56,shrink,Tampico,37,20,38.51,t2,1,3.9427461780709865,3.6509179478268177,93,2023
T39_37_2022,33.03,grow,Tampico,39,37,44.67,t2,1,3.4974162394026984,3.7993021353640275,94,2023
T39_37_2022,84.45,shrink,Tampico,39,37,54.78,t2,1,4.436159643253809,4.0033251638349325,95,2023
T39_37_2022,379.74,shrink,Tampico,39,37,331.9,t2,1,5.939486808015269,5.804833718725929,96,2023
T39_38_2022,140.76,grow,Tampico,39,38,148.95,t2,1,4.947056312453384,5.003610679159292,97,2023
T39_38_2022,177.37,grow,Tampico,39,38,196.87,t2,1,5.178237946217495,5.282543612431996,98,2023
T39_38_2022,137.97,same,Tampico,39,38,141.66,t2,1,4.927036270219942,4.953429820325477,99,2023
T39_38_2022,31.7,shrink,Tampico,39,38,27.95,t2,1,3.456316680883235,3.3304171996011083,100,2023
T39_38_2022,67.8,shrink,Tampico,39,38,52.88,t2,1,4.216562194946349,3.9680251955434307,101,2023
